MEASURE # 11; PULSES IN 2s: 0
MEASURE # 12; PULSES IN 2s: 5
MEASURE # 13; PULSES IN 2s: 0
MEASURE # 14; PULSES IN 2s: 1
MEASURE # 15; PULSES IN 2s: 1
MEASURE # 16; PULSES IN 2s: 4
MEASURE # 17; PULSES IN 2s: 1
MEASURE # 18; PULSES IN 2s: 0
MEASURE # 19; PULSES IN 2s: 1
MEASURE # 20; PULSES IN 2s: 2
MEASURE # 21; PULSES IN 2s: 1
MEASURE # 22; PULSES IN 2s: 1
MEASURE # 23; PULSES IN 2s: 1
MEASURE # 24; PULSES IN 2s: 0
MEASURE # 25; PULSES IN 2s: 1
MEASURE # 26; PULSES IN 2s: 1
MEASURE # 27; PULSES IN 2s: 1
MEASURE # 28; PULSES IN 2s: 2
MEASURE # 29; PULSES IN 2s: 0
MEASURE # 30; PULSES IN 2s: 2
MEASURE # 31; PULSES IN 2s: 2
MEASURE # 32; PULSES IN 2s: 1
MEASURE # 33; PULSES IN 2s: 0
MEASURE # 34; PULSES IN 2s: 1
MEASURE # 35; PULSES IN 2s: 1
MEASURE # 36; PULSES IN 2s: 2
MEASURE # 37; PULSES IN 2s: 1
MEASURE # 38; PULSES IN 2s: 2
MEASURE # 39; PULSES IN 2s: 1
MEASURE # 40; PULSES IN 2s: 1
MEASURE # 41; PULSES IN 2s: 2
MEASURE # 42; PULSES IN 2s: 3
MEASURE # 43; PULSES IN 2s: 1
MEASURE # 44; PULSES IN 2s: 3
MEASURE # 45; PULSES IN 2s: 1
MEASURE # 46; PULSES IN 2s: 2
MEASURE # 47; PULSES IN 2s: 1
MEASURE # 48; PULSES IN 2s: 0
MEASURE # 49; PULSES IN 2s: 0
MEASURE # 50; PULSES IN 2s: 3
MEASURE # 51; PULSES IN 2s: 2
MEASURE # 52; PULSES IN 2s: 1
MEASURE # 53; PULSES IN 2s: 0
MEASURE # 54; PULSES IN 2s: 3
MEASURE # 55; PULSES IN 2s: 0
MEASURE # 56; PULSES IN 2s: 1
MEASURE # 57; PULSES IN 2s: 3
MEASURE # 58; PULSES IN 2s: 2
MEASURE # 59; PULSES IN 2s: 1
MEASURE # 60; PULSES IN 2s: 0
MEASURE # 61; PULSES IN 2s: 0
MEASURE # 62; PULSES IN 2s: 3
MEASURE # 63; PULSES IN 2s: 0
MEASURE # 64; PULSES IN 2s: 2
MEASURE # 65; PULSES IN 2s: 2
MEASURE # 66; PULSES IN 2s: 2
MEASURE # 67; PULSES IN 2s: 1
MEASURE # 68; PULSES IN 2s: 4
MEASURE # 69; PULSES IN 2s: 0
MEASURE # 70; PULSES IN 2s: 0
MEASURE # 71; PULSES IN 2s: 2
MEASURE # 72; PULSES IN 2s: 2
MEASURE # 73; PULSES IN 2s: 2
MEASURE # 74; PULSES IN 2s: 0
MEASURE # 75; PULSES IN 2s: 2
MEASURE # 76; PULSES IN 2s: 0
MEASURE # 77; PULSES IN 2s: 0
MEASURE # 78; PULSES IN 2s: 0
MEASURE # 79; PULSES IN 2s: 2
MEASURE # 80; PULSES IN 2s: 1
MEASURE # 81; PULSES IN 2s: 1
MEASURE # 82; PULSES IN 2s: 3
MEASURE # 83; PULSES IN 2s: 1
MEASURE # 84; PULSES IN 2s: 1
MEASURE # 85; PULSES IN 2s: 2
MEASURE # 86; PULSES IN 2s: 1
MEASURE # 87; PULSES IN 2s: 4
MEASURE # 88; PULSES IN 2s: 0
MEASURE # 89; PULSES IN 2s: 1
MEASURE # 90; PULSES IN 2s: 1
MEASURE # 91; PULSES IN 2s: 1
MEASURE # 92; PULSES IN 2s: 3
MEASURE # 93; PULSES IN 2s: 2
MEASURE # 94; PULSES IN 2s: 0
MEASURE # 95; PULSES IN 2s: 1
MEASURE # 96; PULSES IN 2s: 0
MEASURE # 97; PULSES IN 2s: 1
MEASURE # 98; PULSES IN 2s: 0
MEASURE # 99; PULSES IN 2s: 0
MEASURE # 100; PULSES IN 2s: 2
MEASURE # 101; PULSES IN 2s: 1
MEASURE # 102; PULSES IN 2s: 1
MEASURE # 103; PULSES IN 2s: 2
MEASURE # 104; PULSES IN 2s: 2
MEASURE # 105; PULSES IN 2s: 0
MEASURE # 106; PULSES IN 2s: 1
MEASURE # 107; PULSES IN 2s: 3
MEASURE # 108; PULSES IN 2s: 2
MEASURE # 109; PULSES IN 2s: 0
